87.6,83.6,84.6,88.3,78.5,81.0,87.9,81.1,82.9
82.8,78.6,79.9,80.8,66.4,70.4,81.9,72.6,75.3
52.1,47.1,48.8,50.5,27.7,34.4,51.3,36.7,41.3
85.4,81.5,82.6,84.9,73.4,76.4,85.2,77.5,79.6
77.1,74.7,75.4,76.1,62.9,66.4,76.6,68.8,71.0
78.0,77.0,77.9,81.8,80.1,81.6,79.7,78.4,79.5
77.3,79.0,78.5,79.8,69.5,72.0,78.4,74.5,75.5
86.8,90.9,90.5,89.9,87.8,88.0,88.1,89.3,89.2
83.2,81.3,81.7,84.1,72.3,74.9,83.6,76.8,78.4
75.0,78.2,77.1,79.3,73.1,75.1,76.8,75.9,76.2
79.6,76.5,77.2,70.6,53.2,57.2,75.4,65.2,67.6
78.5,87.9,85.5,78.8,78.2,78.4,78.6,83.2,82.0
83.9,74.7,76.6,85.1,61.7,66.6,84.5,68.1,71.5
73.9,73.3,73.4,76.0,64.8,67.4,74.9,69.1,70.5
69.4,75.6,74.2,70.4,62.4,64.2,69.9,69.1,69.3
68.0,64.3,65.0,66.3,45.8,48.7,67.2,54.4,56.4
77.2,69.2,71.2,73.6,51.6,56.5,75.5,60.1,63.8
75.4,69.5,70.5,74.6,57.2,60.0,75.0,63.3,65.2
74.1,68.7,70.1,73.3,67.4,68.7,73.8,68.0,69.4
72.5,72.1,72.2,66.4,63.9,64.5,69.4,68.2,68.5
78.7,76.9,77.2,78.6,74.0,74.7,78.6,75.5,75.9
86.9,79.2,81.4,84.1,74.2,77.0,85.5,76.7,79.2
83.9,57.4,63.1,87.1,62.4,68.0,85.5,59.8,65.5
88.2,76.7,82.5,84.1,74.9,79.4,86.3,75.8,81.1
76.8,67.5,70.1,79.2,71.8,73.8,78.0,69.7,72.0
78.3,74.1,74.7,71.8,77.3,76.3,75.0,75.6,75.5
82.1,78.0,78.5,83.2,77.2,78.0,82.7,77.6,78.3
87.3,85.7,86.6,82.8,82.9,82.8,85.1,84.3,84.8
76.3,74.3,75.2,70.9,62.8,65.8,73.9,68.7,70.8
83.4,78.2,80.7,80.9,69.6,74.7,82.2,73.9,77.8
76.7,76.8,76.7,73.3,62.6,66.1,74.9,69.6,71.3
78.6,76.1,77.0,77.8,65.3,69.7,78.2,70.5,73.3
90.0,88.5,89.0,90.1,90.6,90.4,90.1,89.5,89.7
86.2,88.6,87.5,86.1,79.9,82.5,86.1,84.3,85.1
